User_id,Extension,TipoMov,fecha
70,-8,1,2023-01-05 18:02:44
70,9,0,2023-01-06 16:32:30
70,-7,1,2023-01-07 21:13:27
70,-2,0,2023-01-09 19:02:25
70,-3,1,2023-01-11 00:48:23
70,-8,0,2023-01-17 06:03:33
70,6,1,2023-01-20 10:28:44
70,-2,0,2023-01-21 16:50:15
70,7,1,2023-01-24 01:06:01
70,-10,0,2023-01-31 15:16:56
70,8,1,2023-02-01 18:35:46
70,-5,0,2023-02-01 20:10:06
70,6,1,2023-02-02 12:15:11
70,-5,0,2023-02-03 20:46:05
70,6,1,2023-02-10 04:27:25
70,7,0,2023-02-23 10:35:52
70,6,1,2023-02-27 14:05:56
70,-4,0,2023-02-28 23:02:42
70,4,1,2023-03-02 16:08:01
70,-6,0,2023-03-03 09:26:37
70,0,1,2023-03-06 14:13:36
70,6,0,2023-03-22 02:15:11
70,2,1,2023-03-22 03:31:38
70,5,0,2023-03-29 07:51:02
70,-6,1,2023-04-12 13:19:34
70,-3,0,2023-04-26 01:24:52
70,-5,1,2023-04-26 23:49:28
70,-3,0,2023-05-03 06:17:45
70,6,1,2023-05-13 07:36:15
70,3,0,2023-05-14 02:26:03
70,9,1,2023-05-17 01:32:23
70,-5,0,2023-06-09 06:49:59
70,4,1,2023-06-11 00:46:37
70,-5,0,2023-06-13 09:22:29
70,7,1,2023-06-15 18:41:53
70,7,0,2023-06-17 11:40:52
70,7,1,2023-06-26 11:34:28
70,6,0,2023-06-27 22:44:24
70,-8,1,2023-07-03 00:45:50
70,-1,0,2023-07-06 10:12:11
70,7,1,2023-07-07 06:12:56
70,6,0,2023-07-18 18:14:03
70,-9,1,2023-07-20 08:04:59
70,7,0,2023-07-20 18:18:21
70,-6,1,2023-07-22 00:33:16
70,1,0,2023-07-23 09:06:55
70,7,1,2023-08-18 12:17:04
70,-7,0,2023-08-19 12:03:58
70,4,1,2023-08-21 09:02:25
70,-3,0,2023-09-06 22:32:09
70,4,1,2023-09-14 02:12:48
70,-10,0,2023-09-17 16:59:57
70,9,1,2023-09-21 08:14:49
70,4,0,2023-09-30 00:23:15
70,-4,1,2023-10-03 09:20:53
70,-4,0,2023-10-09 09:02:30
70,3,1,2023-10-10 15:15:12
70,0,0,2023-10-12 05:39:46
70,-6,1,2023-10-12 06:28:27
70,-5,0,2023-10-18 02:23:37
70,3,1,2023-10-19 22:56:12
70,-7,0,2023-10-21 05:43:15
70,-10,1,2023-10-23 11:14:57
70,8,0,2023-10-30 06:04:42
70,-3,1,2023-10-30 14:14:59
70,3,0,2023-11-03 23:14:39
70,7,1,2023-11-11 14:21:47
70,-6,0,2023-11-18 17:44:02
70,5,1,2023-11-19 10:40:09
70,-7,0,2023-11-21 23:46:44
70,8,1,2023-11-23 15:09:42
70,0,0,2023-12-05 08:39:30
70,6,1,2023-12-08 08:07:12
70,-7,0,2023-12-16 21:30:52
70,-8,1,2023-12-22 22:42:21
70,0,0,2023-12-27 19:44:56
70,-8,1,2023-12-28 12:47:47
70,-5,0,2024-01-10 07:14:58
70,-6,1,2024-01-11 22:36:41
70,-4,0,2024-01-21 16:46:37
70,3,1,2024-01-25 01:38:59
70,-7,0,2024-01-30 16:51:17
70,-10,1,2024-02-25 04:02:21
70,7,0,2024-02-29 19:42:59
70,-8,1,2024-03-12 01:48:53
70,-2,0,2024-03-26 02:42:49
70,-9,1,2024-04-01 06:13:07
70,-10,0,2024-04-05 09:08:31
70,9,1,2024-04-10 04:10:58
70,0,0,2024-04-20 02:02:24
70,-2,1,2024-04-26 03:39:18
70,0,0,2024-04-30 18:25:52
70,-10,1,2024-05-01 00:37:56
70,1,0,2024-05-01 05:01:40
70,7,1,2024-05-05 07:00:04
70,3,0,2024-05-05 19:18:47
70,4,1,2024-05-06 16:45:37
70,0,0,2024-05-18 14:09:49
70,-4,1,2024-05-20 08:29:51
70,-3,0,2024-05-20 17:30:46
70,5,1,2024-05-25 04:55:11
70,-2,0,2024-06-03 03:11:22
70,-6,1,2024-06-06 00:05:10
70,8,0,2024-06-12 05:34:11
70,-2,1,2024-06-15 02:11:10
70,1,0,2024-06-16 06:18:10
70,9,1,2024-06-19 16:57:42
70,-8,0,2024-06-22 02:38:56
70,-5,1,2024-06-22 09:42:53
70,8,0,2024-06-22 10:43:19
70,-3,1,2024-06-23 15:00:36
70,2,0,2024-07-01 09:42:37
70,-10,1,2024-07-05 16:10:31
70,-7,0,2024-07-06 04:31:25
70,5,1,2024-07-06 23:42:49
70,-9,0,2024-07-07 09:25:20
70,-9,1,2024-07-09 02:43:53
70,-3,0,2024-07-12 16:28:55
70,1,1,2024-07-18 03:43:00
70,-10,0,2024-07-30 10:05:08
70,5,1,2024-07-31 02:06:41
70,-2,0,2024-07-31 14:02:25
70,-6,1,2024-08-05 21:39:59
70,9,0,2024-08-05 22:27:07
70,5,1,2024-08-09 14:33:53
70,6,0,2024-08-12 20:55:29
70,-4,1,2024-08-15 07:25:01
70,-9,0,2024-08-21 01:07:51
70,2,1,2024-08-25 03:13:39
70,-4,0,2024-08-28 18:21:52
70,9,1,2024-09-12 22:26:13
70,8,0,2024-09-13 23:45:15
70,4,1,2024-09-14 07:43:58
70,3,0,2024-09-18 21:12:34
70,-6,1,2024-09-21 03:46:00
70,1,0,2024-09-21 12:46:15
70,-2,1,2024-09-26 12:56:42
71,4,0,2023-01-08 11:11:22
71,1,1,2023-01-13 04:44:03
71,5,0,2023-01-15 22:27:33
71,6,1,2023-01-18 11:41:35
71,5,0,2023-01-21 02:31:08
71,8,1,2023-01-22 17:21:37
71,-8,0,2023-01-22 18:15:36
71,8,1,2023-01-24 09:16:01
71,8,0,2023-01-30 02:02:27
71,-7,1,2023-02-02 12:25:37
71,7,0,2023-02-08 00:40:33
71,8,1,2023-02-17 12:06:52
71,9,0,2023-02-20 12:08:59
71,-8,1,2023-02-27 06:15:59
71,-6,0,2023-02-28 19:56:40
71,-3,1,2023-03-02 18:01:03
71,7,0,2023-03-03 08:47:31
71,1,1,2023-03-03 09:43:12
71,5,0,2023-03-08 16:55:13
71,0,1,2023-03-15 14:44:14
71,-2,0,2023-03-15 23:59:50
71,9,1,2023-03-19 14:09:56
71,1,0,2023-03-21 01:41:43
71,-2,1,2023-03-21 07:38:44
71,-4,0,2023-03-26 08:40:28
71,-8,1,2023-03-31 15:19:57
71,9,0,2023-04-02 14:00:43
71,9,1,2023-04-05 03:46:03
71,-1,0,2023-04-05 17:06:56
71,6,1,2023-04-16 02:46:34
71,-7,0,2023-04-18 06:20:11
71,-5,1,2023-04-18 07:30:46
71,9,0,2023-04-21 21:55:21
71,1,1,2023-04-23 12:05:47
71,-3,0,2023-05-02 21:16:16
71,1,1,2023-05-04 08:18:43
